Edad,FrecPromMes
18,4
18,6
18,6
18,6
18,6
18,6
18,10
18,8
18,5
18,7
18,6
18,11
18,9
18,4
18,4
18,5
18,9
18,4
18,7
18,7
18,4
18,6
18,4
18,6
18,4
18,3
18,5
18,9
18,3
18,6
18,6
18,6
18,5
18,4
18,4
18,7
18,4
18,7
18,4
18,4
18,4
18,6
18,8
18,4
18,7
18,7
18,9
18,5
18,6
18,7
19,4
19,7
19,9
19,7
19,3
19,5
19,8
19,4
19,6
19,7
19,10
19,10
19,6
19,6
19,3
19,9
19,10
19,8
19,8
19,8
19,6
19,8
19,9
19,4
19,6
19,10
19,8
19,6
19,5
19,7
19,7
19,9
19,7
19,6
19,4
19,6
19,4
19,7
19,9
19,9
19,6
19,10
19,6
19,8
19,6
19,6
19,8
19,9
19,5
19,5
19,6
19,3
19,4
19,5
19,6
19,7
19,11
19,4
19,4
19,7
19,7
19,6
19,3
19,4
19,4
19,4
19,4
19,4
19,3
19,4
19,8
19,8
19,4
19,4
19,6
19,11
19,7
19,9
19,6
19,7
19,6
19,7
19,9
19,6
19,9
20,3
20,9
20,4
20,7
20,8
20,9
20,6
20,7
20,10
20,8
20,10
20,6
20,7
20,3
20,6
20,7
20,6
20,5
20,9
20,9
20,10
20,6
20,8
20,5
20,5
20,6
20,4
20,4
20,4
20,4
20,11
20,7
20,3
20,8
20,4
20,8
20,10
20,4
20,6
20,4
20,3
20,10
20,5
20,6
20,7
20,3
20,5
20,8
20,6
20,11
20,6
20,9
20,6
20,6
20,8
20,5
20,4
20,3
20,8
20,10
20,5
20,8
20,5
20,10
20,4
20,4
20,10
20,4
20,9
20,9
20,5
20,9
20,7
20,5
20,7
20,10
20,5
20,7
20,8
20,8
20,4
20,5
20,9
20,5
20,4
20,8
20,5
20,4
20,11
21,4
21,6
21,5
21,8
21,8
21,5
21,6
21,6
21,9
21,10
21,5
21,4
21,4
21,5
21,7
21,6
21,9
21,9
21,6
21,5
21,5
21,7
21,4
21,7
21,6
21,7
21,7
21,8
21,7
21,6
21,8
21,9
21,5
21,5
21,4
21,9
21,5
21,8
21,3
21,4
21,7
21,10
21,5
21,5
21,5
21,9
21,10
21,3
21,6
21,7
21,4
21,7
21,4
21,9
21,7
21,5
21,6
21,9
21,4
21,7
21,4
21,5
21,10
21,5
21,5
21,4
21,6
21,10
21,4
21,7
21,8
21,4
21,4
21,5
21,7
21,5
21,5
21,5
21,4
21,6
21,7
21,11
21,4
21,4
21,7
21,9
22,7
22,6
22,10
22,5
22,6
22,4
22,5
22,8
22,7
22,11
22,7
22,7
22,6
22,4
22,7
22,5
22,9
22,6
22,4
22,4
22,5
22,6
22,8
22,5
22,9
22,4
22,8
22,9
22,6
22,9
22,8
22,7
22,7
22,4
22,8
22,6
22,6
22,4
22,6
22,6
22,6
22,8
22,7
22,5
22,4
22,9
22,4
22,5
22,6
22,5
22,6
22,7
22,5
22,4
22,7
22,7
22,4
22,4
22,5
22,5
22,4
22,9
22,11
22,10
22,4
22,7
22,5
22,8
22,10
22,7
22,3
22,10
23,7
23,10
23,5
23,7
23,5
23,4
23,7
23,9
23,5
23,5
23,6
23,8
23,5
23,9
23,8
23,6
23,7
23,10
23,7
23,9
23,6
23,5
23,7
23,9
23,4
23,5
23,11
23,4
23,8
23,5
23,7
23,10
23,9
23,4
23,3
23,7
23,4
23,4
23,7
23,8
23,4
23,5
23,6
23,9
23,5
23,6
23,7
23,7
23,9
23,7
23,7
23,10
23,7
23,4
23,4
23,4
23,5
23,4
23,6
23,8
23,6
23,4
23,10
23,7
23,7
23,5
23,7
23,6
23,9
23,9
23,11
23,14
23,7
23,8
23,8
23,7
23,6
23,7
23,7
23,8
24,8
24,10
24,10
24,8
24,5
24,10
24,10
24,11
24,6
24,10
24,10
24,6
24,6
24,9
24,9
24,12
24,8
24,8
24,6
24,12
24,9
24,6
24,10
24,7
24,7
24,8
24,9
24,12
24,6
24,9
24,8
24,11
24,9
24,5
24,7
24,6
24,8
24,7
24,6
24,4
24,11
24,9
24,10
24,13
24,8
24,6
24,11
24,11
24,6
24,6
24,8
24,11
24,11
24,9
24,8
24,7
24,6
24,8
24,12
24,13
24,7
24,9
24,6
24,9
24,6
24,7
24,11
24,7
24,9
24,11
24,9
24,9
24,12
24,6
24,9
24,8
24,12
24,8
24,4
24,7
24,10
24,7
24,5
24,6
24,8
24,10
24,8
24,18
25,10
25,9
25,11
25,10
25,14
25,8
25,10
25,7
25,12
25,7
25,10
25,10
25,9
25,13
25,8
25,10
25,9
25,7
25,7
25,9
25,11
25,10
25,12
25,12
25,10
25,9
25,7
25,8
25,9
25,10
25,13
25,8
25,10
25,12
25,8
25,10
25,12
25,11
25,13
25,10
25,11
25,11
25,11
25,13
25,11
25,11
25,9
25,12
25,13
25,7
25,11
25,9
25,14
25,11
25,11
25,7
25,6
25,10
25,7
25,11
25,7
25,9
25,8
25,12
25,10
25,11
25,5
25,11
25,10
25,14
25,12
25,9
25,7
25,9
25,6
25,12
25,11
25,14
25,12
25,13
25,7
25,13
26,10
26,9
26,13
26,10
26,9
26,11
26,10
26,8
26,10
26,13
26,9
26,13
26,9
26,11
26,11
26,14
26,10
26,9
26,10
26,13
26,14
26,13
26,14
26,9
26,11
26,8
26,6
26,9
26,13
26,11
26,11
26,9
26,14
26,13
26,10
26,8
26,9
26,12
26,11
26,9
26,8
26,13
26,12
26,8
26,11
26,10
26,13
26,10
26,12
26,12
26,12
26,11
26,8
26,12
26,8
26,10
26,9
26,9
26,14
26,9
26,14
26,12
26,14
26,8
26,8
26,6
26,7
26,11
26,8
26,13
26,10
26,7
26,13
26,7
26,11
26,13
26,13
26,6
26,11
26,10
26,9
26,10
26,11
26,14
26,8
26,9
26,12
26,10
26,11
26,12
26,13
26,10
26,12
26,8
26,10
26,10
26,9
27,9
27,12
27,8
27,11
27,12
27,9
27,8
27,9
27,10
27,9
27,12
27,10
27,11
27,13
27,8
27,11
27,9
27,12
27,10
27,9
27,12
27,7
27,11
27,12
27,8
27,9
27,11
27,9
27,11
27,10
27,11
27,12
27,9
27,11
27,7
27,14
27,6
27,8
27,8
27,13
27,13
27,10
27,10
27,11
27,11
27,12
27,7
27,6
27,9
27,11
27,10
27,12
27,12
27,8
27,11
27,9
27,8
27,11
27,12
27,11
27,9
27,7
27,11
27,6
27,12
27,10
27,8
27,10
27,11
27,9
27,7
27,14
27,10
27,7
27,8
27,13
27,13
27,9
27,12
27,10
27,8
27,7
27,9
27,12
27,10
27,10
27,9
27,11
27,6
27,7
27,10
28,12
28,9
28,10
28,7
28,9
28,8
28,9
28,9
28,7
28,13
28,8
28,7
28,11
28,14
28,7
28,13
28,9
28,11
28,13
28,10
28,7
28,11
28,11
28,10
28,9
28,14
28,9
28,13
28,9
28,11
28,8
28,9
28,9
28,9
28,11
28,9
28,12
28,8
28,12
28,6
28,11
28,10
28,10
28,8
28,10
28,11
28,9
28,13
28,10
28,7
28,10
28,10
28,12
28,12
28,13
28,9
28,12
28,10
28,9
28,12
28,10
28,13
28,8
28,11
28,11
28,8
28,12
28,10
28,10
28,13
28,13
28,7
28,8
28,14
28,7
28,7
28,12
28,10
28,11
28,11
28,11
29,10
29,9
29,8
29,12
29,9
29,7
29,11
29,11
29,13
29,9
29,14
29,11
29,10
29,6
29,11
29,12
29,7
29,10
29,8
