TicketPromMes,FrecPromMes
59.23,4
35.63,6
58.5,6
53.02,6
62,6
57.56,6
60.98,10
41.47,8
36.85,5
51.18,7
42.1,6
47.7,11
36.91,9
34.68,4
48.79,4
45.87,5
46.42,9
59.92,4
75.54,7
43.52,7
49.75,4
51.54,6
56.56,4
47.71,6
38.06,4
41.39,3
41.88,5
39.43,9
32.19,3
46.25,6
59.26,6
32.61,6
59.32,5
53.64,4
69.18,4
38.08,7
36.2,4
59.23,7
48.92,4
44.33,4
51.1,4
33.59,6
47.35,8
35.96,4
58.58,7
31.83,7
41.63,9
48.89,5
37.17,6
44.17,7
60.57,4
44.26,7
43.52,9
78.03,7
37.26,3
43.94,5
75.75,8
43.53,4
56.5,6
38.66,7
51.8,10
51.01,10
57.47,6
44.55,6
53.56,3
36.83,9
54.34,10
48,8
60.4,8
43.31,8
74.49,6
39.39,8
35.9,9
36.47,4
76.35,6
47.06,10
62.77,8
41.49,6
41.02,5
52.81,7
51.8,7
50.12,9
36.33,7
39.79,6
35.97,4
58.81,6
42.19,4
50.58,7
41.64,9
57.22,9
61.65,6
48.73,10
40.58,6
37.5,8
59.26,6
53.2,6
56.91,8
41.17,9
43.12,5
48.05,5
40.45,6
41.83,3
40.75,4
52.59,5
56.54,6
45.69,7
39.34,11
60.1,4
46.67,4
38.51,7
56.14,7
38.27,6
74.67,3
67.12,4
35.95,4
51.87,4
43.96,4
50.37,4
66.14,3
47.54,4
77.72,8
50.04,8
52.25,4
55.41,4
42.75,6
40.18,11
46.25,7
50.12,9
54.56,6
40.16,7
66.05,6
52.43,7
55.87,9
45.99,6
64.89,9
43.62,3
38.1,9
56.53,4
61.68,7
54.94,8
37.08,9
32.07,6
44.68,7
49.72,10
54.71,8
45.17,10
47.57,6
50.37,7
58.92,3
41.92,6
56.26,7
46.69,6
38.18,5
52.22,9
58.42,9
62.03,10
49.35,6
65.39,8
55.97,5
50.38,5
53.76,6
35.22,4
49.64,4
40.25,4
38.51,4
56.24,11
42.93,7
43.73,3
44.8,8
46.95,4
63.46,8
52.68,10
44.91,4
46.3,6
39.63,4
58.69,3
36.25,10
35.49,5
40.8,6
44.45,7
44.16,3
48.24,5
64.06,8
59.93,6
50.49,11
76.28,6
49.1,9
50.93,6
56.09,6
34.35,8
41.6,5
48.63,4
42.15,3
36.4,8
35.75,10
50.13,5
53.7,8
44.81,5
55.12,10
53.33,4
32.06,4
50.66,10
52.6,4
48.46,9
72.6,9
64.45,5
34.91,9
60.78,7
39.69,5
59.65,7
51.64,10
72.9,5
34.09,7
39.91,8
38.38,8
68.11,4
36.16,5
54.36,9
54.93,5
46.43,4
52.62,8
45.66,5
44.39,4
34.91,11
56.91,4
40.04,6
60.02,5
33.52,8
50.52,8
43.56,5
53.18,6
45.61,6
35.87,9
53.98,10
35.38,5
50.41,4
53.61,4
38.04,5
39.79,7
48.35,6
63.47,9
56.21,9
58.8,6
38.77,5
41.6,5
48.45,7
37.74,4
37.83,7
44.16,6
45.77,7
36.38,7
38.97,8
33.45,7
39.56,6
62.54,8
43.12,9
57.15,5
33.95,5
34.99,4
58.23,9
