TicketPromMes,RentaPromMes
59.23,15.27
35.63,11.16
58.5,14.47
53.02,9.67
62,12.19
57.56,12.17
60.98,12.53
41.47,10.62
36.85,12.2
51.18,13.9
42.1,13.58
47.7,10.17
36.91,9.81
34.68,10.23
48.79,11.14
45.87,14.53
46.42,13.21
59.92,16.36
75.54,16.09
43.52,12.1
49.75,14.59
51.54,13.08
56.56,18.58
47.71,9.64
38.06,13.37
41.39,14.3
41.88,11.61
39.43,9.44
32.19,10.26
46.25,10.03
59.26,14.18
32.61,8.42
59.32,13.17
53.64,10.04
69.18,17.32
38.08,9.68
36.2,8.63
59.23,13.02
48.92,16.11
44.33,7.96
51.1,14.66
33.59,6.24
47.35,14.71
35.96,10.24
58.58,14.85
31.83,9.69
41.63,10.09
48.89,16.49
37.17,8.29
44.17,11.47
60.57,15.27
44.26,9.01
43.52,10.81
78.03,13.72
37.26,11.51
43.94,9.03
75.75,20.32
43.53,15.33
56.5,14.92
38.66,9.04
51.8,10.9
51.01,13.39
57.47,16.02
44.55,16.86
53.56,10.56
36.83,13.44
54.34,14.66
48,14.73
60.4,15.73
43.31,10.63
74.49,16.04
39.39,12.94
35.9,9.98
36.47,13.13
76.35,15.25
47.06,17.14
62.77,17.13
41.49,14.02
41.02,15.39
52.81,12.39
51.8,18.93
50.12,12.72
36.33,7.42
39.79,8.91
35.97,13.39
58.81,13.88
42.19,13
50.58,15.85
41.64,11.05
57.22,10.43
61.65,15.78
48.73,11.94
40.58,6.85
37.5,7.76
59.26,13.16
53.2,16.7
56.91,10.59
41.17,12.1
43.12,11.77
48.05,10.29
40.45,12.59
41.83,9.24
40.75,7.76
52.59,16.21
56.54,12.96
45.69,13.24
39.34,10.08
60.1,10.87
46.67,15.81
38.51,11.76
56.14,15.5
38.27,13.29
74.67,22.49
67.12,23.84
35.95,10.86
51.87,13.98
43.96,8.05
50.37,17.29
66.14,14.84
47.54,13.55
77.72,17.47
50.04,10.56
52.25,10.53
55.41,21.04
42.75,15.12
40.18,9.84
46.25,9.87
50.12,12.47
54.56,19.06
40.16,13.41
66.05,14.09
52.43,16.36
55.87,14.63
45.99,11.67
64.89,23.95
43.62,15.52
38.1,12.99
56.53,17.57
61.68,15.53
54.94,16.37
37.08,10.05
32.07,7.61
44.68,15.55
49.72,16.65
54.71,10.01
45.17,11.45
47.57,12.37
50.37,12.87
58.92,20.11
41.92,16.36
56.26,18.97
46.69,16.38
38.18,12.5
52.22,17.49
58.42,11.96
62.03,14.11
49.35,10.14
65.39,14.97
55.97,20.78
50.38,14.61
53.76,12.39
35.22,6.88
49.64,9.41
40.25,13.59
38.51,8.08
56.24,14.3
42.93,10.9
43.73,11.88
44.8,9.17
46.95,16.15
63.46,14.32
52.68,11.36
44.91,13.21
46.3,9.4
39.63,14.25
58.69,17.05
36.25,7.7
35.49,7.76
40.8,10.75
44.45,9.7
44.16,10.94
48.24,14.46
64.06,16.9
59.93,22.45
50.49,12.51
76.28,20.31
49.1,9.23
50.93,14.32
56.09,12.93
34.35,9.48
41.6,12.19
48.63,8.29
42.15,11.76
36.4,13.11
35.75,9.97
50.13,11.26
53.7,11.89
44.81,10.4
55.12,15.77
53.33,13.43
32.06,8.64
50.66,18.2
52.6,12.36
48.46,15.14
72.6,15.46
64.45,14.83
34.91,10.5
60.78,13.22
39.69,9.1
59.65,13.98
51.64,18.01
72.9,21.85
34.09,10.68
39.91,13.52
38.38,11.73
68.11,16.93
36.16,8.44
54.36,16.9
54.93,15.1
46.43,15.82
52.62,10.27
45.66,18
44.39,11.7
34.91,9.81
56.91,11.78
40.04,11.58
60.02,14.81
33.52,9.47
50.52,9.73
43.56,13
53.18,17.25
45.61,10.38
35.87,12.25
53.98,11.61
35.38,9.88
50.41,11.58
53.61,11.9
38.04,9.33
39.79,8.7
48.35,9.81
63.47,16.74
56.21,14.43
58.8,15.31
38.77,7.48
41.6,15.92
48.45,13.86
37.74,12.69
37.83,8.69
44.16,13.52
45.77,15.2
36.38,7.94
38.97,7.63
33.45,7.28
39.56,9.68
62.54,13.2
43.12,15.33
57.15,18.9
33.95,8.48
34.99,6.02
58.23,14.25
38.18,9.77
39.23,10.37
60.07,12.33
41.59,10.89
48.44,9.69
34.58,10.37
42.25,7.99
53.39,11.57
34.23,10.25
56.73,14.62
45.8,15.54
52.72,15.41
59.08,18.6
55.95,12.55
37.92,11.64
47.67,10.01
32.73,6.35
43.27,14.62
61.13,22.23
72.64,14.31
70.85,19.49
40.35,10.76
63.97,16.04
56.88,16.38
53.13,12.12
42.63,9.09
47.56,11.28
67.97,22.83
51.34,12.51
47.97,14.64
59.98,17.69
66.36,18.14
55.11,13.56
41.32,14.06
43.44,12.88
64.4,14.59
40.56,12.67
47.08,17.89
42.39,10.93
62.15,14.93
38.73,8.59
41.8,12.2
64.6,23.79
44.2,9.26
63.82,14.24
51.22,9.22
50.98,13.1
44.85,11.72
48.81,18.64
68.6,18.57
39.84,10.18
49.66,16.47
41.43,10.81
45.05,15.38
45.35,11.39
41.17,8.7
62.64,13.49
65.13,12.52
43.35,14.27
44.37,10.67
62.43,16.18
70.12,19.06
39.39,11.71
59.88,11.9
50.63,10.19
37.95,10.34
54.69,11.78
37.12,8.37
42.8,14.12
56.27,12.49
41.48,14.82
42.42,13.63
45.74,11.87
39.27,8.22
64.9,18.94
47.03,8.82
41.08,7.46
64.01,20.05
51.87,14.38
32.85,9.65
48.4,11.14
43.74,11.96
63.52,20.6
34.53,10.01
47.38,11.35
37.63,9.46
73.52,19.85
45.6,13.66
50.05,17
38.68,8.62
67.49,17.59
50.84,14.23
69.49,22.32
50.01,18.3
46.12,10.94
38.06,8.79
56.25,19.4
52.86,11.99
49.35,13.7
39.7,8.88
34.51,10.7
67.37,20.17
74.07,17.66
67.64,19.04
59.54,12.55
36.51,6.76
32.47,8.29
63.99,11.9
60.2,10.53
66.99,12.43
38.48,8.61
35.44,10.09
41.75,10.55
72.31,18.81
38.21,14.76
46.8,8.53
41.35,13.34
37.38,13.78
63.81,11.18
44.07,16.09
47.96,15.92
37.62,6.83
35.52,9.97
34.81,6.47
47.46,16.3
38.83,10.91
39.26,9.68
60.76,16.35
41.03,7.9
32.58,6.97
71.59,18.58
61.74,23.53
66.26,18.86
39.58,13.06
47.92,16.03
59.47,14.3
52.16,12.14
59.73,17.54
50.23,12.39
77.89,25.77
44.23,11.38
54.88,15.23
66.69,15.86
37.62,9.13
57.1,15.73
37.72,8.5
53.34,18.52
46.33,9.22
45.95,7.93
35.38,6.65
47.39,13.5
39.62,7.38
56.07,14.62
47.95,7.48
71.19,23.29
49.04,12.47
54.86,14.78
37.54,9.79
47.7,18.71
56.99,14.92
34.69,8.03
60.56,13.38
35.11,8.38
53.31,18.76
47.9,11.96
42.46,11.76
38.89,8.67
57.11,16.37
42.64,14.96
36.49,9.83
44.19,13.2
49.46,11.8
41.81,7.32
52.54,14.67
35.17,8.14
48,11.22
44.77,8.58
46.41,11.39
51.83,17.85
53.44,15.93
49.95,17.13
43.37,12.28
42.19,10.66
48.66,11.71
43.9,12.88
51.89,16.52
69.09,17.47
42.61,13.38
45.88,14.63
49.02,9.88
54.1,8.88
60.37,14.13
73.89,13.6
54.73,16.49
39.6,10.63
60.17,17.33
40.4,13.3
72.24,28.47
47.08,10.97
52.69,17.82
45.59,10.88
72.35,18.3
40.2,13.08
43.81,12.68
39.81,11.89
62.9,14.48
53.18,15.91
55.12,14.3
48.29,12.68
69.33,12.68
57.15,14.62
49.65,18.21
52.14,12.2
46.36,14.98
38.21,10.97
38.63,9.67
50.16,10.53
49.01,9.35
40.06,13.35
41.95,10.87
48.55,11.18
51.9,13.32
39.11,7.51
65.68,13.97
44.68,15.37
47.36,18.52
43.15,10.97
65.32,19.34
60.11,15.65
47.9,14.35
40.78,10.38
41.94,9.13
44.89,11.08
44.5,13.77
47.15,10.27
50.32,15.97
56.65,16.12
33.77,9.15
34.99,8.49
42.37,9.4
116.02,31.11
69.37,18.95
77.81,16.9
109.51,41.55
80.27,22.67
58.14,16.05
100.46,23.07
64.49,20.01
62.83,17.52
95.5,17.14
85.36,24.67
91.01,33.11
105.38,36.05
